State,Link
Rishikesh,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[70]/a/div"
Salem,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[71]/a/div"
Shimla,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[72]/a/div"
Silliguri,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[73]/a/div"
Srinagar,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[74]/a/div"
Surat,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[75]/a/div"
Thrissur,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[76]/a/div"
Tirupati,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[77]/a/div"
Trichy,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[78]/a/div"
Trivandrum,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[79]/a/div"
Udaipur,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[80]/a/div"
Vadodra,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[81]/a/div"
Varanasi,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[82]/a/div"
Vellore,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[83]/a/div"
Vijaywada,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[84]/a/div"
Visakhapatnam,"//*[@id=""root""]/div/div[4]/div[3]/div/div/div/div[85]/a/div"
